"Date","Lifetime.Total.Likes","Daily.New.Likes","Daily.Unlikes","Daily.Page.Engaged.Users","Weekly.Page.Engaged.Users","X28.Days.Page.Engaged.Users","Daily.Total.Reach","Weekly.Total.Reach","X28.Days.Total.Reach","Daily.Organic.Reach","Weekly.Organic.Reach","X28.Days.Organic.Reach","Daily.Paid.Reach","Weekly.Paid.Reach","X28.Days.Paid.Reach","Daily.Total.Impressions","Weekly.Total.Impressions","X28.Days.Total.Impressions","Daily.Organic.impressions","Weekly.Organic.impressions","X28.Days.Organic.impressions","Daily.Paid.Impressions","Weekly.Paid.Impressions","X28.Days.Paid.Impressions","Daily.Logged.in.Page.Views","Weekly.Logged.in.Page.Views","Daily.Logged.in.Page.Views.1","Weekly.Logged.in.Page.Views.1","Daily.Reach.of.page.posts","Weekly.Reach.of.page.posts","X28.Days.Reach.of.page.posts","Daily.Organic.Reach.of.Page.posts","Weekly.Organic.Reach.of.Page.posts","X28.Days.Organic.Reach.of.Page.posts","Daily.Paid.Reach.of.Page.posts","Weekly.Paid.Reach.of.Page.posts","X28.Days.Paid.Reach.of.Page.posts","Daily.Total.Impressions.of.your.posts","Weekly.Total.Impressions.of.your.posts","X28.Days.Total.Impressions.of.your.posts","Daily.Organic.impressions.of.your.posts","Weekly.Organic.impressions.of.your.posts","X28.Days.Organic.impressions.of.your.posts","Daily.Paid.impressions.of.your.posts","Weekly.Paid.impressions.of.your.posts","X28.Days.Paid.impressions.of.your.posts","Daily.Total.Consumers","Weekly.Total.Consumers","X28.Days.Total.Consumers","Daily.Page.consumptions","Weekly.Page.consumptions","X28.Days.Page.consumptions","Daily.Negative.feedback","Weekly.Negative.feedback","X28.Days.Negative.feedback","Daily.Negative.Feedback.from.Users","Weekly.Negative.Feedback.from.Users","X28.Days.Negative.Feedback.from.Users","Daily.Total.check.ins","Weekly.Total.check.ins","X28.Days.Total.check.ins","Daily.Total.check.ins.1","Weekly.Total.check.ins.1","X28.Days.Total.check.ins.1","Daily.Total.check.ins.using.mobile.devices","Weekly.Total.check.ins.using.mobile.devices","X28.Days.Total.check.ins.using.mobile.devices","Daily.Total.check.ins.using.mobile.devices.1","Weekly.Total.check.ins.using.mobile.devices.1","X28.Days.Total.check.ins.using.mobile.devices.1","Daily.Daily.count.of.fans.online","Daily.Total.Video.Views","Weekly.Total.Video.Views","X28.Days.Total.Video.Views","Daily.Total.organic.video.views","Weekly.Total.organic.video.views","X28.Days.Total.organic.video.views","Daily.Total.promoted.video.views","Weekly.Total.promoted.video.views","X28.Days.Total.promoted.video.views","Daily.Total.autoplayed.video.views","Weekly.Total.autoplayed.video.views","X28.Days.Total.autoplayed.video.views","Daily.Total.video.views.after.clicking","Weekly.Total.video.views.after.clicking","X28.Days.Total.video.views.after.clicking","Daily.Total.number.of.time.a.video.has.seen.again","Weekly.Total.number.of.time.a.video.has.seen.again","X28.Days.Total.number.of.time.a.video.has.seen.again","Daily.Total.Unique.Video.Views","Weekly.Total.Unique.Video.Views","X28.Days.Total.Unique.Video.Views","Daily.Total.30.Second.Views","Weekly.Total.30.Second.Views","X28.Days.Total.30.Second.Views","Daily.Total.organic.video.views.for.30s.or.to.the.end","Weekly.Total.organic.video.views.for.30s.or.to.the.end","X28.Days.Total.organic.video.views.for.30s.or.to.the.end","Daily.Paid.30.Second.Views","Weekly.Paid.30.Second.Views","X28.Days.Paid.30.Second.Views","Daily.Auto.Played.30.Second.Views","Weekly.Auto.Played.30.Second.Views","X28.Days.Auto.Played.30.Second.Views","Daily.Video.views.for.30s.or.to.the.end.after.clicking","Weekly.Video.views.for.30s.or.to.the.end.after.clicking","X28.Days.Video.views.for.30s.or.to.the.end.after.clicking","Daily.Number.of.time.a.video.has.seen.again.for.30s.or.to.the.end","Weekly.Number.of.time.a.video.has.seen.again.for.30s.or.to.the.end","X28.Days.Number.of.time.a.video.has.seen.again.for.30s.or.to.the.end","Daily.Total.Unique.30.Second.Views","Weekly.Total.Unique.30.Second.Views","X28.Days.Total.Unique.30.Second.Views","Daily.People.Talking.About.This","Weekly.People.Talking.About.This","X28.Days.People.Talking.About.This","page_get_directions_clicks_logged_in_count.day","page_get_directions_clicks_logged_in_count.week","page_get_directions_clicks_logged_in_unique.day","page_get_directions_clicks_logged_in_unique.week","page_call_phone_clicks_logged_in_count.day","page_call_phone_clicks_logged_in_count.week","page_call_phone_clicks_logged_in_unique.day","page_call_phone_clicks_logged_in_unique.week","page_website_clicks_logged_in_count.day","page_website_clicks_logged_in_count.week","page_website_clicks_logged_in_unique.day","page_website_clicks_logged_in_unique.week","page_cta_clicks_logged_in_total.day","page_cta_clicks_logged_in_total.week","page_cta_clicks_logged_in_unique.day","page_cta_clicks_logged_in_unique.week","mes","anio"
2016-03-17,1579028,368,247,16447,124341,249510,2897073,10287263,13899125,23608,76706,242477,2873465,10210557,13656648,3224142,26430397,53445347,126162,984417,4231693,3097980,25445980,49213654,342,2544,241,1663,2897073,10283025,13824421,23608,72468,167773,2873465,10210557,13656648,3220462,26393771,53177688,122482,947791,3964034,3097980,25445980,49213654,13812,118836,236628,16225,160095,423395,53,641,1220,52,705,1390,0,0,0,0,0,0,0,0,0,0,0,0,1225400,36221,NA,NA,1423,0,0,34798,NA,NA,35924,NA,NA,297,0,0,1110,0,0,35111,NA,NA,3910,NA,NA,177,0,0,3733,NA,NA,3783,NA,NA,127,0,0,50,0,0,3860,NA,NA,3279,8839,24861,0,0,0,0,0,0,0,0,3,21,3,21,10,109,9,101,3,2016
2016-03-18,1579196,402,253,20226,122194,256812,3228155,10177648,14122080,16741,77543,234133,3211414,10100105,13887947,3666979,26196674,55767440,142897,980974,4248443,3524082,25215700,51518997,338,2511,239,1652,3228155,10173505,14059097,16741,73400,171150,3211414,10100105,13887947,3663301,26161404,55513098,139219,945704,3994101,3524082,25215700,51518997,17032,116687,243819,22915,158846,434885,32,569,1225,33,625,1393,0,0,0,0,0,0,0,0,0,0,0,0,1221191,31445,NA,NA,1061,0,0,30384,NA,NA,31205,NA,NA,240,0,0,506,0,0,30939,NA,NA,3245,NA,NA,128,0,0,3117,NA,NA,3139,NA,NA,106,0,0,15,0,0,3230,NA,NA,3948,8901,25249,0,0,0,0,0,0,0,0,2,21,2,21,5,94,4,88,3,2016
2016-03-19,1579359,439,283,18803,119655,265582,3553479,10279407,14489848,42310,78285,225312,3511169,10201122,14264536,3988101,26317384,58655479,138848,988372,4257332,3849253,25329012,54398147,339,2523,226,1648,3553479,10275482,14429921,42310,74360,165385,3511169,10201122,14264536,3984159,26283682,58414180,134906,954670,4016033,3849253,25329012,54398147,16252,114170,252441,19687,155591,445397,47,495,1248,55,551,1426,0,0,0,0,0,0,0,0,0,0,0,0,1206988,35288,NA,NA,1309,0,0,33979,NA,NA,34970,NA,NA,318,0,0,1598,0,0,33690,NA,NA,3751,NA,NA,168,0,0,3583,NA,NA,3608,NA,NA,143,0,0,37,0,0,3714,NA,NA,3264,8794,25427,0,0,0,0,0,0,0,0,2,22,2,22,10,82,8,76,3,2016
2016-03-20,1579624,517,251,23852,116777,277707,3618870,10194371,14837556,36246,79922,220502,3582624,10114449,14617054,4369768,26246975,61952988,163054,1003177,4299498,4206714,25243798,57653490,361,2561,278,1642,3618870,10190688,14782789,36246,76239,165735,3582624,10114449,14617054,4364583,26214699,61723477,157869,970901,4069987,4206714,25243798,57653490,20155,111414,264326,24962,152293,461617,38,436,1260,39,483,1443,0,0,0,0,0,0,0,0,0,0,0,0,1193260,34608,NA,NA,1237,0,0,33371,NA,NA,34304,NA,NA,304,0,0,1610,0,0,32998,NA,NA,4013,NA,NA,193,0,0,3820,NA,NA,3871,NA,NA,142,0,0,146,0,0,3867,NA,NA,4460,8504,25607,0,0,0,0,0,0,0,0,3,20,3,20,8,72,8,67,3,2016
2016-03-21,1579875,530,263,29811,123180,295957,4324183,10871812,15752625,29055,77652,210191,4295128,10794160,15542434,8125443,30216589,68897288,149072,980303,4256627,7976371,29236286,64640661,416,2566,296,1663,4324183,10868310,15705285,29055,74150,162851,4295128,10794160,15542434,8120279,30185621,68680526,143908,949335,4039865,7976371,29236286,64640661,26785,118098,282611,30974,157023,479490,37,356,1272,39,392,1454,0,0,0,0,0,0,0,0,0,0,0,0,1210193,39622,NA,NA,1474,0,0,38148,NA,NA,39274,NA,NA,348,0,0,498,0,0,39124,NA,NA,4226,NA,NA,214,0,0,4012,NA,NA,4065,NA,NA,161,0,0,0,0,0,4259,NA,NA,4053,8058,25697,0,0,0,0,0,0,0,0,4,23,4,23,20,74,17,68,3,2016
2016-03-22,1580008,374,255,37097,141525,324194,4265059,12101028,17172850,5135,69940,175618,4259924,12031088,16997232,14326588,41020085,82135431,43391,887901,4127855,14283197,40132184,78007576,278,2477,182,1581,4265059,12097715,17137563,5135,66627,140331,4259924,12031088,16997232,14322986,40990345,81947083,39789,858161,3939507,14283197,40132184,78007576,35090,136656,310645,39452,175228,510748,22,281,1268,23,305,1449,0,0,0,0,0,0,0,0,0,0,0,0,1215242,39926,NA,NA,1940,0,0,37986,NA,NA,39702,NA,NA,224,0,0,1982,0,0,37944,NA,NA,4452,NA,NA,269,0,0,4183,NA,NA,4338,NA,NA,114,0,0,193,0,0,4259,NA,NA,2316,7646,25674,0,0,0,0,0,0,0,0,3,20,3,20,13,76,12,69,3,2016
2016-03-23,1580176,422,270,32621,156693,349041,4374477,12797736,18012849,22289,66493,158295,4352188,12731243,17854554,12010063,49747750,93273004,101089,877817,4089591,11908974,48869933,89183413,290,2364,189,1508,4374477,12794525,17987482,22289,63282,132928,4352188,12731243,17854554,12006736,49718999,93106818,97762,849066,3923405,11908974,48869933,89183413,30869,151927,335130,35928,192380,540175,17,235,1266,17,259,1450,0,0,0,0,0,0,0,0,0,0,0,0,1211248,33453,NA,NA,4781,0,0,28672,NA,NA,32842,NA,NA,611,0,0,1711,0,0,31742,NA,NA,5290,NA,NA,1980,0,0,3310,NA,NA,4919,NA,NA,371,0,0,0,0,0,5331,NA,NA,2619,7520,25755,0,0,0,0,0,0,0,0,3,20,3,20,10,76,10,69,3,2016
2016-03-24,1580336,429,277,48056,184407,384942,4689661,13481938,18822466,30432,68191,144367,4659229,13413747,18678099,13249126,59779420,105792280,146474,898164,4112255,13102652,58881256,101680025,249,2271,187,1475,4689661,13478806,18805221,30432,65059,127122,4659229,13413747,18678099,13245387,59750590,105642234,142735,869334,3962209,13102652,58881256,101680025,45404,179693,371183,49330,225710,583594,16,198,1267,16,223,1449,0,0,0,0,0,0,0,0,0,0,0,0,1193966,38576,NA,NA,4297,0,0,34279,NA,NA,37933,NA,NA,643,0,0,2038,0,0,36538,NA,NA,6012,NA,NA,1703,0,0,4309,NA,NA,5634,NA,NA,378,0,0,125,0,0,5887,NA,NA,3702,7470,26034,0,0,0,0,0,0,0,0,3,20,3,20,7,73,7,67,3,2016
2016-03-25,1580510,436,246,45785,207949,419228,4434068,13927663,19469490,29174,68810,141079,4404894,13858853,19328411,11848507,67951603,116895300,171365,926288,4155490,11677142,67025315,112739810,260,2193,193,1429,4434068,13924523,19460725,29174,65670,132314,4404894,13858853,19328411,11844555,67922506,116755296,167413,897191,4015486,11677142,67025315,112739810,42601,203488,405528,49277,252029,626687,20,189,1279,23,212,1464,0,0,0,0,0,0,0,0,0,0,0,0,1167796,30942,NA,NA,1713,0,0,29229,NA,NA,30433,NA,NA,509,0,0,294,0,0,30648,NA,NA,4048,NA,NA,479,0,0,3569,NA,NA,3771,NA,NA,277,0,0,208,0,0,3840,NA,NA,3757,7051,26267,0,0,0,0,0,0,0,0,0,18,0,18,13,81,11,73,3,2016
2016-03-26,1580684,466,272,43340,229547,451347,4954717,14236115,20122093,33957,71107,132840,4920760,14165008,19989253,12396526,76360129,128560962,160190,947667,4191668,12236336,75412462,124369294,274,2128,209,1422,4954717,14232896,20114137,33957,67888,124884,4920760,14165008,19989253,12392389,76330803,128424881,156053,918341,4055587,12236336,75412462,124369294,40374,224795,437432,46132,278490,667145,35,180,1295,36,194,1484,0,0,0,0,0,0,0,0,0,0,0,0,1171239,36954,NA,NA,1747,0,0,35207,NA,NA,36427,NA,NA,527,0,0,965,0,0,35989,NA,NA,4559,NA,NA,357,0,0,4202,NA,NA,4271,NA,NA,288,0,0,27,0,0,4532,NA,NA,3954,7403,26581,0,0,0,0,0,0,0,0,2,18,2,18,16,87,11,76,3,2016
2016-03-27,1580955,520,265,51064,254624,486967,5263945,14475774,20554173,52321,76688,141164,5211624,14399086,20413009,14189183,86185135,141361505,188030,972467,4235543,14001153,85212668,137125962,285,2052,221,1369,5263945,14472545,20546732,52321,73459,133723,5211624,14399086,20413009,14184010,86155842,141223813,182857,943174,4097851,14001153,85212668,137125962,47827,249376,472689,54401,307952,713503,28,170,1290,45,199,1493,0,0,0,0,0,0,0,0,0,0,0,0,1199234,39184,NA,NA,1825,0,0,37359,NA,NA,38583,NA,NA,601,0,0,842,0,0,38342,NA,NA,5017,NA,NA,418,0,0,4599,NA,NA,4668,NA,NA,349,0,0,201,0,0,4816,NA,NA,5129,8064,26959,0,0,0,0,0,0,0,0,2,17,2,17,17,96,15,84,3,2016
2016-03-28,1581235,527,244,51069,274614,524601,5637124,14661997,21265720,35811,83442,150119,5601313,14578555,21115601,17439994,95468806,157849457,212964,1036286,4331603,17227030,94432520,153517854,430,2066,278,1342,5637124,14658653,21257506,35811,80098,141905,5601313,14578555,21115601,17434673,95439368,157709510,207643,1006848,4191656,17227030,94432520,153517854,48745,269216,510477,56795,333750,763574,29,163,1300,32,192,1506,0,0,0,0,0,0,0,0,0,0,0,0,1228901,37492,NA,NA,1826,0,0,35666,NA,NA,36975,NA,NA,517,0,0,1796,0,0,35696,NA,NA,5048,NA,NA,374,0,0,4674,NA,NA,4804,NA,NA,244,0,0,0,0,0,5178,NA,NA,4291,8365,27251,0,0,0,0,0,0,0,0,4,17,4,17,9,85,9,75,3,2016
2016-03-29,1581375,412,273,41991,277590,550977,4471169,14704180,21669912,19286,87735,147940,4451883,14616445,21521972,15616589,96771864,172011766,154547,1148324,4262170,15462042,95623540,167749596,333,2121,245,1384,4471169,14700842,21660015,19286,84397,138043,4451883,14616445,21521972,15612408,96741861,171871170,150366,1118321,4121574,15462042,95623540,167749596,38921,272043,537053,43380,337646,793281,26,168,1293,27,196,1495,0,0,0,0,0,0,0,0,0,0,0,0,1227601,30977,NA,NA,1409,0,0,29568,NA,NA,30584,NA,NA,393,0,0,1898,0,0,29079,NA,NA,3905,NA,NA,269,0,0,3636,NA,NA,3694,NA,NA,211,0,0,12,0,0,3893,NA,NA,2859,8632,26632,0,0,0,0,0,0,0,0,6,20,5,19,9,81,9,72,3,2016
2016-03-30,1581456,366,242,43041,284728,565908,4401112,14716059,21980170,45944,90420,134724,4355168,14625639,21845446,13791126,98520855,183923212,133741,1180155,4022655,13657385,97340700,179900557,353,2184,234,1408,4401112,14712823,21969983,45944,87184,124537,4355168,14625639,21845446,13787784,98490836,183799043,130399,1150136,3898486,13657385,97340700,179900557,40139,279071,552031,43944,345756,776879,34,185,1278,36,215,1474,0,0,0,0,0,0,0,0,0,0,0,0,1227983,33764,NA,NA,1427,0,0,32337,NA,NA,33147,NA,NA,617,0,0,1076,0,0,32688,NA,NA,4062,NA,NA,275,0,0,3787,NA,NA,3726,NA,NA,336,0,0,189,0,0,3873,NA,NA,2851,8773,24572,0,0,0,0,0,0,0,0,3,20,3,18,9,80,9,72,3,2016
2016-03-31,1581542,277,227,5980,250260,559715,700185,13922224,21943884,44860,91278,126613,655325,13830946,21817271,842987,86103301,183535015,151094,1185443,3925242,691893,84917858,179609773,265,2200,169,1376,699039,13919000,21935304,43714,88054,118033,655325,13830946,21817271,840751,86074808,183419481,148858,1156950,3809708,691893,84917858,179609773,4068,244586,545847,6789,302836,756913,10,180,1264,13,212,1458,0,0,0,0,0,0,0,0,0,0,0,0,1228673,8212,NA,NA,439,0,0,7773,NA,NA,8002,NA,NA,210,0,0,105,0,0,8107,NA,NA,1010,NA,NA,139,0,0,871,NA,NA,903,NA,NA,107,0,0,28,0,0,982,NA,NA,2385,8757,23733,0,0,0,0,0,0,0,0,2,19,2,17,7,80,6,70,3,2016
2016-04-01,1581538,187,207,1897,212663,558115,42063,12932255,21923970,38871,90065,126122,3192,12842190,21797848,99329,74362483,183104564,96111,1110372,3900339,3218,73252111,179204225,190,2130,109,1281,41498,12929066,21914951,38306,86876,117103,3192,12842190,21797848,97839,74336421,182989975,94621,1084310,3785750,3218,73252111,179204225,985,207130,544325,1847,255221,753005,7,165,1255,13,202,1456,0,0,0,0,0,0,0,0,0,0,0,0,1228161,179,NA,NA,170,0,0,9,NA,NA,105,NA,NA,74,0,0,50,0,0,129,NA,NA,67,NA,NA,64,0,0,3,NA,NA,23,NA,NA,44,0,0,19,0,0,48,NA,NA,1134,8393,23581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2016
2016-04-02,1581477,186,241,2077,176525,556635,47361,11527796,21907250,46872,89517,129202,489,11438279,21778048,126584,62093815,182689574,126076,1077297,3930340,508,61016518,178759234,132,1988,78,1148,46967,11524775,21899322,46478,86496,121274,489,11438279,21778048,124970,62070266,182575444,124462,1053748,3816210,508,61016518,178759234,1141,171371,543123,2165,210956,750607,7,137,1253,7,172,1448,0,0,0,0,0,0,0,0,0,0,0,0,1218054,157,NA,NA,157,0,0,0,NA,NA,86,NA,NA,71,0,0,61,0,0,96,NA,NA,69,NA,NA,69,0,0,0,NA,NA,15,NA,NA,54,0,0,30,0,0,39,NA,NA,1088,7773,23480,0,0,0,0,0,0,0,0,0,18,0,16,2,56,2,53,4,2016
2016-04-03,1581449,204,230,1833,132441,554814,44433,9585131,21880261,44018,86678,130916,415,9498453,21749345,115339,48016462,182176394,114920,1005014,3911579,419,47011448,178264815,137,1840,81,1016,43947,9582305,21872636,43532,83852,123291,415,9498453,21749345,114029,47996731,182063940,113610,985283,3799125,419,47011448,178264815,980,128040,541307,3006,159191,748408,8,119,1244,9,137,1438,0,0,0,0,0,0,0,0,0,0,0,0,1216003,144,NA,NA,144,0,0,0,NA,NA,103,NA,NA,41,0,0,26,0,0,118,NA,NA,46,NA,NA,46,0,0,0,NA,NA,23,NA,NA,23,0,0,10,0,0,36,NA,NA,1016,6572,23348,0,0,0,0,0,0,0,0,1,17,1,15,1,40,1,38,4,2016
2016-04-04,1581439,195,206,1803,86660,553040,30850,7238408,21847317,30490,79410,128478,360,7158998,21718839,79955,30658957,181683045,79592,872224,3896454,363,29786733,177786591,190,1600,109,860,30644,7236012,21839564,30284,77014,120725,360,7158998,21718839,78452,30643014,181571624,78089,856281,3785033,363,29786733,177786591,898,82698,539627,2573,104644,746419,3,95,1230,3,108,1423,0,0,0,0,0,0,0,0,0,0,0,0,1238049,234,NA,NA,234,0,0,0,NA,NA,175,NA,NA,59,0,0,31,0,0,203,NA,NA,72,NA,NA,72,0,0,0,NA,NA,32,NA,NA,40,0,0,14,0,0,58,NA,NA,1141,5787,23315,0,0,0,0,0,0,0,0,1,14,1,12,0,31,0,30,4,2016
2016-04-05,1581478,246,210,8806,56154,551360,609897,5320648,21919468,68982,90112,129745,540915,5230536,21789723,718080,15759976,180047894,157442,875492,3944385,560638,14884484,176103509,191,1458,134,744,609417,5318562,21913026,68502,88026,123303,540915,5230536,21789723,716208,15746292,179937591,155570,861808,3834082,560638,14884484,176103509,6467,51807,537850,9040,70191,744921,21,90,1196,21,102,1379,0,0,0,0,0,0,0,0,0,0,0,0,1236787,39297,NA,NA,1837,0,0,37460,NA,NA,38550,NA,NA,747,0,0,0,0,0,39549,NA,NA,7224,NA,NA,341,0,0,6883,NA,NA,6758,NA,NA,466,0,0,0,0,0,7558,NA,NA,3050,6328,23518,0,0,0,0,0,0,0,0,0,8,0,8,2,24,2,23,4,2016
2016-04-06,1581505,284,239,9519,23977,544977,696303,1742933,21962360,61760,123691,130834,634543,1619242,21831526,821421,2814993,177432724,152175,895035,3932359,669246,1919958,173500365,237,1342,148,662,696303,1740169,21955968,61760,120927,124442,634543,1619242,21831526,818200,2801385,177323119,148954,881427,3822754,669246,1919958,173500365,7444,19568,531147,9865,35809,734777,35,91,1150,42,108,1328,0,0,0,0,0,0,0,0,0,0,0,0,1236211,23185,NA,NA,1268,0,0,21917,NA,NA,22705,NA,NA,480,0,0,668,0,0,22517,NA,NA,5919,NA,NA,315,0,0,5604,NA,NA,5590,NA,NA,329,0,0,0,0,0,6022,NA,NA,2470,6391,23458,0,0,0,0,0,0,0,0,4,9,4,9,11,26,8,22,4,2016
2016-04-07,1581505,243,245,11013,28541,542116,684633,1506012,21832683,84730,166574,133263,599903,1339438,21699420,910958,2890214,175203332,285843,1030134,4098158,625115,1860080,171105174,293,1370,168,656,682073,1503023,21825606,82170,163585,126186,599903,1339438,21699420,906789,2874623,175093792,281674,1014543,3988618,625115,1860080,171105174,9316,24298,528562,14609,43983,732624,35,115,1106,44,139,1279,0,0,0,0,0,0,0,0,0,0,0,0,1237078,39117,NA,NA,2150,0,0,36967,NA,NA,38665,NA,NA,452,0,0,47,0,0,39070,NA,NA,6252,NA,NA,360,0,0,5892,NA,NA,6017,NA,NA,235,0,0,0,0,0,6447,NA,NA,2627,6463,23411,0,0,0,0,0,0,0,0,0,7,0,7,7,26,7,23,4,2016
2016-04-08,1581558,292,253,10298,35074,532730,957184,2009261,21766889,62235,171773,133653,894949,1837488,21633236,1073971,3866718,172377478,156923,1092521,4110155,917048,2774197,168267323,211,1391,117,662,957008,2006384,21761627,62059,168896,128391,894949,1837488,21633236,1071592,3850201,172270532,154544,1076004,4003209,917048,2774197,168267323,8093,30694,519253,10377,52581,718677,26,134,1029,26,152,1191,0,0,0,0,0,0,0,0,0,0,0,0,1233861,117208,NA,NA,4758,0,0,112450,NA,NA,115710,NA,NA,1498,0,0,3845,0,0,113363,NA,NA,21886,NA,NA,887,0,0,20999,NA,NA,21029,NA,NA,857,0,0,338,0,0,21548,NA,NA,2693,6712,23070,0,0,0,0,0,0,0,0,4,10,3,8,8,31,7,27,4,2016
2016-04-09,1581627,286,217,9855,41130,523263,971473,2508055,21688814,42368,169865,138136,929105,2338190,21550678,1166417,4907638,169678966,151149,1117650,4130986,1015268,3789988,165547980,132,1391,93,678,970864,2505264,21683887,41759,167074,133209,929105,2338190,21550678,1164179,4890483,169575234,148911,1100495,4027254,1015268,3789988,165547980,7671,36625,509767,10095,60567,705604,33,162,945,36,181,1098,0,0,0,0,0,0,0,0,0,0,0,0,1222225,123589,NA,NA,4520,0,0,119069,NA,NA,122429,NA,NA,1160,0,0,3557,0,0,120032,NA,NA,23618,NA,NA,916,0,0,22702,NA,NA,22933,NA,NA,685,0,0,1055,0,0,22563,NA,NA,2552,6914,22775,0,0,0,0,0,0,0,0,0,10,0,8,9,38,9,34,4,2016
2016-04-10,1581714,321,219,10184,47594,511604,1167420,2988702,21515554,46768,167265,136107,1120652,2821437,21379447,1301861,6093459,166542031,128584,1131639,4112297,1173277,4961820,162429734,124,1378,91,696,1165032,2985842,21510195,44380,164405,130748,1120652,2821437,21379447,1299317,6075057,166442329,126040,1113237,4012595,1173277,4961820,162429734,8166,43023,498267,9784,67430,686866,34,188,888,36,208,1027,0,0,0,0,0,0,0,0,0,0,0,0,1219206,129875,NA,NA,4995,0,0,124880,NA,NA,128739,NA,NA,1136,0,0,3108,0,0,126767,NA,NA,23755,NA,NA,952,0,0,22803,NA,NA,23070,NA,NA,685,0,0,0,0,0,24099,NA,NA,2310,7044,22169,0,0,0,0,0,0,0,0,0,9,0,7,8,45,8,41,4,2016
2016-04-11,1581838,323,199,10331,58634,518537,1183227,3323380,21170824,56460,146656,98352,1126767,3176724,21072472,1317124,7309832,163617390,157311,1189427,4036586,1159813,6120405,159580804,211,1399,156,735,1182323,3320039,21170824,55556,143315,98352,1126767,3176724,21072472,1314531,7290816,163522664,154718,1170411,3941860,1159813,6120405,159580804,8096,49295,481243,10766,74536,664556,34,217,806,40,245,935,0,0,0,0,0,0,0,0,0,0,0,0,1237673,133312,605583,1170772,4726,24254,55398,128586,581329,1115374,132340,599138,1156851,972,6445,13921,5254,88199,340336,128058,517384,830436,24119,112773,183629,882,4653,12469,23237,108120,171160,23536,108933,175890,583,3840,7739,1533,2606,14925,22586,110167,168704,2637,13569,50786,0,0,0,0,0,0,0,0,1,9,1,7,8,53,8,50,4,2016
2016-04-12,1581947,301,209,11009,62280,509344,1054525,3643349,21095816,55562,152663,106693,998963,3490686,20989123,1211385,7803137,161315282,189069,1221054,4089592,1022316,6582083,157225690,243,1451,153,762,1052732,3639334,21095816,53769,148648,106693,998963,3490686,20989123,1207280,7781888,161221290,184964,1199805,3995600,1022316,6582083,157225690,8507,52097,474039,13652,79148,656812,34,234,743,37,261,863,0,0,0,0,0,0,0,0,0,0,0,0,1235368,107945,674231,1248720,4043,26460,58346,103902,647771,1190374,106947,667535,1234207,998,6696,14513,0,96627,363420,108000,577604,885300,19457,125006,198952,794,5106,13075,18663,119900,185877,18873,121048,190801,584,3958,8151,768,6850,20048,18689,118156,178904,3028,13725,49920,0,0,0,0,0,0,0,0,4,13,4,11,11,62,11,58,4,2016
2016-04-13,1582077,341,195,11859,64622,502374,2179375,4649282,21365196,60415,160830,121961,2118960,4488452,21243235,2357567,9339283,160385113,168848,1237727,4146961,2188719,8101556,156238152,322,1536,223,839,2168203,4635307,21361741,49243,146855,118506,2118960,4488452,21243235,2336104,9299792,160273953,147385,1198236,4035801,2188719,8101556,156238152,9073,53181,467321,11198,80481,649168,37,235,724,39,258,839,0,0,0,0,0,0,0,0,0,0,0,0,1235382,108161,759207,1329067,3799,28991,60709,104362,730216,1268358,107292,752122,1314151,869,7085,14916,3091,105244,382403,105070,653963,946664,18549,137636,213581,761,5552,13602,17788,132084,199979,18050,133508,205143,499,4128,8438,254,6133,18275,18295,131503,195306,3624,14637,48925,0,0,0,0,0,0,0,0,1,10,1,9,8,59,7,57,4,2016
2016-04-14,1582140,308,237,10311,64250,493678,2008988,5086237,21350557,39455,145240,121794,1969533,4940997,21228763,2210652,10638977,159371623,163708,1115592,4184507,2046944,9523385,155187116,274,1517,198,870,2000874,5055549,21347107,31341,114552,118344,1969533,4940997,21228763,2201624,10594627,159255115,154680,1071242,4067999,2046944,9523385,155187116,8073,53252,459548,10761,76633,643704,30,234,704,30,244,817,0,0,0,0,0,0,0,0,0,0,0,0,1233968,105566,825656,1398412,3801,30642,63087,101765,795014,1335325,104762,818219,1382989,804,7437,15423,2739,129044,400059,102827,696612,998353,17072,148456,226743,675,5867,14100,16397,142589,212643,16624,144115,217984,448,4341,8759,0,2508,20505,17226,145948,206238,3140,15551,48961,0,0,0,0,0,0,0,0,5,15,5,14,12,64,12,62,4,2016
2016-04-15,1582195,284,237,10186,63071,485939,1410172,5218085,21337769,34670,142277,139805,1375502,5075808,21197964,1653444,11218450,157358088,184848,1143517,4226458,1468596,10074933,153131630,217,1523,164,911,1410172,5185791,21334323,34670,109983,136359,1375502,5075808,21197964,1650767,11173802,157242581,182171,1098869,4110951,1468596,10074933,153131630,8017,52521,451934,10796,77052,631585,26,233,703,32,250,816,0,0,0,0,0,0,0,0,0,0,0,0,1231138,106257,814705,1473224,3794,29678,65820,102463,785027,1407404,105519,808028,1457303,738,6677,15921,775,122137,424199,105482,692568,1049025,16655,143225,240153,687,5667,14659,15968,137558,225494,16246,139332,231091,409,3893,9062,297,4056,25610,16358,139169,214543,3006,15586,48284,0,0,0,0,0,0,0,0,3,14,2,13,10,66,10,65,4,2016
